ID,Zone,Intercept,Ccoef,Ncoef,CxNcoef,Intercept-se,Cse,Nse,CxNse,rsq,Scale,Cmax,Cmin,Nmax,Nmin,CxNmax,CxNmin,Used,Avail
,PP,1.58794682567493,-0.117233721026742,-0.99501956593467,-0.0225763951638763,0.552180741880829,0.257706096643376,0.196127934540205,0.0919765002804519,0.0178112705085461,Landscape,0.140472375616634,-0.374939817670118,-0.798891631394465,-1.19114750047487,0.0694001051165756,-0.114552895444328,,
,OMP,-6.96156096621517,-1.39045735189476,2.16192979164891,0.490184262663829,0.427150311298164,0.248568842175641,0.150152397889062,0.0870382776386879,0.0316775531226945,Landscape,-1.14188850971912,-1.6390261940704,2.31208218953797,2.01177739375985,0.577222540302517,0.403145985025142,,
,,-5.02598000054609,-1.8601146001323,1.41538566856325,0.622452495689208,0.323277536498371,0.168521742980589,0.114016481646279,0.0596486610785492,0.00718313766967016,Landscape,-1.69159285715171,-2.02863634311289,1.52940215020953,1.30136918691697,0.682101156767757,0.562803834610658,,
PPM002,PP,2.23502732312559,0.336158901127836,-1.85575537840575,-0.315734130428888,2.91276348907479,1.38617488012034,1.07774026157981,0.512501957151132,0.0231226315603461,Homerange,1.72233378124818,-1.0500159789925,-0.77801511682594,-2.93349563998557,0.196767826722244,-0.828236087580019,171,1089
PPM003,PP,13.1404060664175,3.77479454612648,-5.30002814820838,-1.41886374805486,2.19873939972712,1.33072909870505,0.886603241458519,0.517790066805182,0.189585414437328,Homerange,5.10552364483153,2.44406544742143,-4.41342490674986,-6.1866313896669,-0.901073681249678,-1.93665381486004,310,528
PPM004,PP,22.6043330490591,9.87596121003488,-8.8723736566886,-3.63408589462198,5.75355992055363,2.34722320490864,2.12454545018207,0.858249450925196,0.0139712506125892,Homerange,12.2231844149435,7.52873800512624,-6.74782820650653,-10.9969191068707,-2.77583644369679,-4.49233534554718,230,967
PPM005,PP,1.04460250214741,6.54479909956474,-0.731653534245288,-2.1593013723817,6.00633409010816,2.88719632874933,2.08827131547678,1.0108225168131,0.0857009780882111,Homerange,9.43199542831407,3.65760277081541,1.35661778123149,-2.81992484972206,-1.1484788555686,-3.17012388919481,124,977
PPM006,PP,-24.2178172145833,-6.66781895035411,8.92483421805991,2.32329042619106,6.67542985386921,2.9677481921717,2.41004726448871,1.09066871882291,0.0976014200176996,Homerange,-3.70007075818241,-9.6355671425258,11.3348814825486,6.51478695357119,3.41395914501397,1.23262170736816,210,99
PPM008,PP,-4.941153354372,-2.52297557068216,2.19941644158181,1.25432764806486,8.381226988652,4.36572672397627,3.20623279341244,1.67672269803219,0.0689029415057042,Homerange,1.84275115329411,-6.88870229465843,5.40564923499426,-1.00681635183063,2.93105034609704,-0.422395049967329,67,128
PPM009,PP,0.10312516498034,-2.57328937171018,0.215137452118273,1.03719712483678,6.81492142509938,3.64982668730941,2.28408964492237,1.23132359244303,0.044924123485196,Homerange,1.07653731559923,-6.22311605901958,2.49922709704065,-2.0689521928041,2.26852071727981,-0.194126467606255,240,271
OMPM004,OMP,-5.72770945257193,-0.10630858757822,1.23996569133262,-0.163436694317556,2.25915728503359,1.33561290264131,0.768257341603456,0.454701307123984,0.031258927599053,Homerange,1.22930431506309,-1.44192149021953,2.00822303293608,0.471708349729166,0.291264612806428,-0.61813800144154,285,1155
OMPM005,OMP,39.0085233745171,18.2474956704106,-13.4323530426882,-6.13387453742842,7.32396892674322,3.83978783517636,2.54126366796303,1.34242768532472,0.0631935236276859,Homerange,22.087283505587,14.4077078352342,-10.8910893747251,-15.9736167106512,-4.7914468521037,-7.47630222275314,251,525
OMPM007,OMP,-0.809798173047327,0.387645382461911,0.0455771206989795,-0.241975423763197,1.17256933330726,1.03090570128586,0.42111559219535,0.373940299364499,0.0111887115790562,Homerange,1.41855108374777,-0.643260318823947,0.466692712894329,-0.37553847149637,0.131964875601303,-0.615915723127696,343,540
OMPM011,OMP,2.42155384695306,2.83069122299831,-1.18603944937824,-0.974282733645312,2.30076782234069,1.29438638654955,0.768814970139948,0.419502389062613,0.013103621248033,Homerange,4.12507760954786,1.53630483644876,-0.417224479238295,-1.95485441951819,-0.554780344582699,-1.39378512270793,267,672
OMPM012,OMP,3.08996292499802,6.74805935517997,-1.02446164740078,-2.03857718537269,2.78585573639133,2.0044835317526,0.924921943854484,0.648919885524485,0.0635754133971753,Homerange,8.75254288693257,4.74357582342738,-0.0995397035462936,-1.94938359125526,-1.38965729984821,-2.68749707089718,235,372
OMPM013,OMP,-14.3109623487444,-3.45766426751702,4.61436348100101,1.16991916635269,2.9534888937574,1.46174572378097,1.03495765017976,0.51197320966305,0.050043759919406,Homerange,-1.99591854373605,-4.919409991298,5.64932113118076,3.57940583082125,1.68189237601574,0.657945956689638,361,941
OMPM015,OMP,-12.5945727610008,-8.63940716917753,3.96809741712749,2.80726721633566,6.08666287495476,3.30641304596591,2.20976262867524,1.19516899519684,0.114325570459567,Homerange,-5.33299412321163,-11.9458202151434,6.17786004580274,1.75833478845225,4.0024362115325,1.61209822113882,148,169
FULL,,1.72367079742056,1.88598088469225,-0.860846509214224,-0.617001916149911,0.546257719549569,0.30365738668411,0.193347495154244,0.107764957314338,0.00612030280681375,Homerange,2.18963827137636,1.58232349800814,-0.66749901405998,-1.05419400436847,-0.509236958835572,-0.724766873464249,,
